tourney,surface,player,wins,prob_win
Adelaide,Hard,Jannik Sinner,235,0.1175
Adelaide,Hard,Grigor Dimitrov,46,0.023
Adelaide,Hard,Alexander Zverev,45,0.0225
Adelaide,Hard,Ugo Humbert,41,0.0205
Adelaide,Hard,Carlos Alcaraz,41,0.0205
Adelaide,Hard,Alexei Popyrin,33,0.0165
Adelaide,Hard,Daniil Medvedev,30,0.015
Adelaide,Hard,Arthur Fils,30,0.015
Adelaide,Hard,Jordan Thompson,29,0.0145
Adelaide,Hard,Karen Khachanov,28,0.014
Adelaide,Hard,Alex De Minaur,28,0.014
Adelaide,Hard,Holger Rune,27,0.0135
Adelaide,Hard,David Goffin,26,0.013
Adelaide,Hard,Flavio Cobolli,24,0.012
Adelaide,Hard,Jack Draper,21,0.0105
Adelaide,Hard,Alex Michelsen,21,0.0105
Adelaide,Hard,Jiri Lehecka,21,0.0105
Adelaide,Hard,Jerome Kym,20,0.01
Adelaide,Hard,Frances Tiafoe,20,0.01
Adelaide,Hard,Ben Shelton,20,0.01
Adelaide,Hard,Altug Celikbilek,19,0.0095
Adelaide,Hard,Andrey Rublev,19,0.0095
Adelaide,Hard,Bu Yunchaokete,19,0.0095
Adelaide,Hard,Taylor Fritz,19,0.0095
Adelaide,Hard,Alexander Bublik,18,0.009
Adelaide,Hard,Jakub Mensik,18,0.009
Adelaide,Hard,Learner Tien,18,0.009
Adelaide,Hard,Gabriel Diallo,18,0.009
Adelaide,Hard,Jack Loutit,17,0.0085
Adelaide,Hard,Emil Ruusuvuori,17,0.0085
Adelaide,Hard,Denis Shapovalov,17,0.0085
Adelaide,Hard,Ricardas Berankis,17,0.0085
Adelaide,Hard,Pablo Llamas Ruiz,16,0.008
Adelaide,Hard,Alejandro Davidovich Fokina,16,0.008
Adelaide,Hard,Casper Ruud,16,0.008
Adelaide,Hard,Hubert Hurkacz,16,0.008
Adelaide,Hard,Niki Kaliyanda Poonacha,16,0.008
Adelaide,Hard,Elmer Moller,16,0.008
Adelaide,Hard,Lukas Neumayer,15,0.0075
Adelaide,Hard,Tomas Machac,15,0.0075
Adelaide,Hard,Gonzalo Escobar,15,0.0075
Adelaide,Hard,Fitriadi M Rifqi,15,0.0075
Adelaide,Hard,Gael Monfils,15,0.0075
Adelaide,Hard,Lucas Miedler,15,0.0075
Adelaide,Hard,Cameron Norrie,15,0.0075
Adelaide,Hard,Juncheng Shang,15,0.0075
Adelaide,Hard,Aleksandre Bakshi,15,0.0075
Adelaide,Hard,Paul Jubb,14,0.007
Adelaide,Hard,Marco Trungelliti,14,0.007
Adelaide,Hard,Kei Nishikori,14,0.007
Adelaide,Hard,Martin Damm,14,0.007
Adelaide,Hard,Martyn Pawelski,14,0.007
Adelaide,Hard,Michael Mmoh,14,0.007
Adelaide,Hard,Alibek Kachmazov,13,0.0065
Adelaide,Hard,Chris Rodesch,13,0.0065
Adelaide,Hard,Zizou Bergs,13,0.0065
Adelaide,Hard,Remy Bertola,13,0.0065
Adelaide,Hard,Nicolai Budkov Kjaer,13,0.0065
Adelaide,Hard,Thiago Agustin Tirante,13,0.0065
Adelaide,Hard,Joao Fonseca,13,0.0065
Adelaide,Hard,Yanaki Milev,13,0.0065
Adelaide,Hard,Thomas Yaka Kofi Setodji,13,0.0065
Adelaide,Hard,Viktor Durasovic,13,0.0065
Adelaide,Hard,Coleman Wong,13,0.0065
Adelaide,Hard,Alex Knaff,13,0.0065
Adelaide,Hard,Lukas Pokorny,12,0.006
Adelaide,Hard,Beibit Zhukayev,12,0.006
Adelaide,Hard,Juan Carlos Prado Angelo,12,0.006
Adelaide,Hard,Cezar Cretu,12,0.006
Adelaide,Hard,Henrique Rocha,12,0.006
Adelaide,Hard,Demetris Azoides,12,0.006
Adelaide,Hard,Roberto Bautista Agut,12,0.006
Adelaide,Hard,Mohamed Safwat,11,0.0055
Adelaide,Hard,Novak Djokovic,11,0.0055
Adelaide,Hard,Boris Arias,11,0.0055
Adelaide,Hard,Nuno Borges,11,0.0055
Adelaide,Hard,Felix Auger Aliassime,11,0.0055
Adelaide,Hard,Blaise Bicknell,11,0.0055
Adelaide,Hard,Marcelo Arevalo,11,0.0055
Adelaide,Hard,Vasek Pospisil,11,0.0055
Adelaide,Hard,Timofey Skatov,11,0.0055
Adelaide,Hard,Benedict Badza,11,0.0055
Adelaide,Hard,Tallon Griekspoor,10,0.005
Adelaide,Hard,Ioannis Xilas,10,0.005
Adelaide,Hard,Romain Arneodo,10,0.005
Adelaide,Hard,Alex Molcan,10,0.005
Adelaide,Hard,Billy Harris,10,0.005
